PtDifference,BA_PtsPC,BA_NumPC,BA_InitLineChance,BT_PtsPC,BT_NumPC,BT_CPSpinner,BT_CPRotator,BE_ParkChance,BE_ClimbChance,BE_BalanceChance,BD_SecDisabledAvg,RA_PtsPC,RA_NumPC,RA_InitLineChance,RT_PtsPC,RT_NumPC,RT_CPSpinner,RT_CPRotator,RE_ParkChance,RE_ClimbChance,RE_BalanceChance,RD_SecDisabledAvg
-31,0,0,1,1.2,4,0,0,2,0,0,1.7,0.7,1,2,0.7,6,0,0,1,1,0,0
4,1.3,1,1,1,4,0,0,1,1,0,0,1.3,1,1,1,9,0,0,3,0,0,0
-63,1.3,1,0,1.5,8,0,0,3,0,0,0,1.3,2,2,1,17,0,0,1,1,1,0
16,0,0,2,0.7,11,0,0,2,0,0,20,0,0,1,1,1,0,0,2,0,0,50
87,1.5,4,1,1.9,24,0,0,1,2,0,0,0,0,2,1.4,12,0,0,1,0,0,0
33,0.7,3,3,1.4,17,0,0,1,1,0,0,0,0,2,0.3,12,0,0,2,0,0,0
-46,0,0,2,0.3,4,0,0,2,0,0,25,0.7,1,2.5,0.3,11,0,0,1.5,1,1,0
-46,0,0,0,0.7,5,0,0,2,0,0,25,1,2,1.5,1.1,10,0,0,2.5,0.5,0,0
17,1.4,4,3,0.9,14,0,0,1,2,0,0,0.7,2,1.5,0.8,11,0,0,2.5,0,0,0
-84,1,1,2,0,0,0,0,2,1,1,0,0.7,2,2,1.8,23,0,0,1,1.5,1,0.8
34,1,1,2,1.4,21,0,0,2,1,1,0,1.7,3,2.5,1.1,8,0,0,1,1,1,10
-64,1,4,2,0.7,5,0,0,1,1,0,25,1.7,3,3,1.4,16,0,0,1.5,1.5,0.5,0
32,0.3,2,2,0.7,14,0,0,2,1,0,0,1.3,1,2,0.8,3,0,0,2,0,0,0.8
-32,0.4,1,2,0.7,11,0,0,2,0,0,0,0,0,1.3,1,6,0,0,1,1,0,2.2
20,0.4,2,2,0.6,4,0,0,2,1,0,15,1.3,1,1.7,0.3,1,0,0,1.7,0.3,0.3,16.7
-51,0,0,0,0.7,8,0,0,2,0,0,17.8,1.8,2,2.3,1.2,15,0,0,1.3,1,0.3,16.7
-114,1.4,3,2,0.4,9,0,0,1,1,0,23.3,2.2,5,2.7,1.6,17,0,0,0.3,2.7,2,0
96,1.6,4,3,1.3,24,0,0,1,2,0,0,0.9,1,2,1,7,0,0,2.3,0,0,0
-32,1.3,1,3,1.3,11,0,0,3,0,0,0,1,3,2.3,1.1,10,0,0,2,0.7,0.7,0.6
-68,0.3,1,1,0.3,7,0,0,1,1,0,20.8,2.2,5,1.8,1.1,10,0,0,0.8,1.3,1,0
-46,1.5,4,2,1.2,16,0,0,1,1,1,6.3,2.5,4,2.8,1.5,24,0,0,0.5,2.5,1.3,0
-104,1,1,2,0.9,5,0,0,2,1,0,12.5,1.2,3,2,1.5,15,1,0,0.5,1.8,0.8,0.4
74,1.3,3,2,1,10,0,0,1,1,0,5,0,0,1,0.3,4,0,0,2.3,0,0,11.7
8,1.7,2,3,1.2,4,0,0,3,0,0,0,1.1,2,1.8,1.1,14,0,0,2.3,0,0,19.6
12,0.2,1,2,0.5,11,0,0,2,1,0,0,0.2,0,2.3,0.7,11,0,0,1.5,0.8,0.5,0
-52,0.2,0,2,0.8,8,0,0,2,1,0,12.5,1.7,4,2.3,1.3,12,0,0,0.8,1.8,0.8,0
43,0.5,2,2,0.9,21,1,0,0,2,1,0,0.4,1,2.6,1.2,7,0,0,2.4,0,0,4
11,1.3,2,2,0.7,4,0,0,1,1,0,10,0,0,0.4,0.9,3,0,0,1.2,0.8,0.2,5
-19,1.6,3,2,1.4,11,0,0,2,1,1,0,0.4,2,2,0.7,12,0,0,1,1.4,0,0
2,2.5,6,2,1.6,15,0,0,1,1,1,17,1.1,2,1.6,1,12,0,0,1.2,0.4,0.2,25.7
7,1.5,3,2,1.1,12,0,0,1,1,1,9,1.4,3,2,1,12,0,0,1,1.4,0.2,0
-33,1.5,3,2,1,10,0,0,2,1,0,0,0.8,1,2.4,1,10,0,0,1.6,0.8,0.6,0
-101,1.3,2,1,0.8,3,0,0,1,1,0,4.5,1.1,3,2.5,0.8,12,0,0,1.1,1.3,0.8,8.3
-30,1.2,3,2,1,10,0,0,1,0,0,7.5,1.6,2,2.5,1.1,18,0,0,1.7,1,0.5,0
8,1.5,3,3,1.1,14,0,0,1,1,1,0,0.3,1,1.5,0.6,8,0,0,0.8,2,0.7,0
162,1.9,5,3,1.8,24,1,0,1,2,2,0.3,0.4,1,2,1.3,9,0,0,2,0.5,0.2,13.1
-75,0.7,2,1,1.4,11,0,0,1,1,1,8.3,1.5,3,2.5,1.4,21,0,0,1.7,1,0.7,0
-31,0.3,1,2,0.4,4,1,0,0,1,0,13.9,0.7,2,1.5,0.5,5,0,0,1.3,0.5,0.3,0.3
24,2,4,2,1.3,15,0,0,2,1,0,0,0.7,1,2.5,0.8,4,0,0,1.8,0,0,3.3
-93,0.1,0,3,0.9,17,0,0,2,0,0,11.2,2.4,4,1.6,1.4,9,0,0,1.1,1.3,0.6,0
-51,0.1,0,2,0.9,7,0,0,1,0,0,3.6,1,3,2.4,0.7,12,0,0,0.4,1.1,0.4,11.9
10,1.3,3,3,1.4,15,0,0,1,1,1,10,0.1,0,2.3,0.6,4,1,0,1,1,0.1,7.1
29,2,4,3,1.2,9,0,0,1,1,1,0,0.5,1,1.6,1.2,10,0,0,1.7,0.4,0.4,0.2
-91,2.2,5,2,1.3,14,0,0,1,1,0,0,2.9,5,2.3,1.9,17,1,0,1.4,1.3,0.6,0.2
-2,0.3,0,2,0.8,8,0,0,1,1,0,9.5,0,0,1.9,0.3,2,0,0,1.4,0,0,6.4
-12,1.5,3,3,1.4,26,0,0,0,2,1,0,0.8,2,1.7,0.8,7,0,0,0.8,1.8,0.4,0
42,1.2,2,2,1.2,12,0,0,1,1,0,0,1.4,2,2.4,1,7,0,0,1.4,0,0,6.9
71,1.3,3,2,1.2,9,0,0,1,1,0,6.3,0,0,1.8,0.8,3,0,0,1.3,0.3,0.1,9.4
32,1.5,3,3,1.8,26,1,0,1,2,1,0.2,1.2,3,2.3,1.1,14,0,0,1,1.6,0.8,0
-40,0.1,0,2,0.6,6,0,0,2,0,0,8.5,0.9,2,2.1,1,11,0,0,0.9,1.3,0.6,18.1
65,2.4,4,3,1.4,10,1,0,0,2,1,0,0.8,1,2.3,0.8,8,0,0,2,0,0,0
-7,1.5,3,1,1.2,10,0,0,1,1,0,0.2,1.4,3,2.9,1,19,0,0,1,0.9,0.4,10.4
-12,0.9,2,2,0.9,17,0,0,1,1,0,0.6,2.3,4,2.6,1.4,17,0,0,1.2,1,0.4,0
-3,0.8,1,2,1,10,1,0,2,1,0,8.7,2,3,2.2,1.1,7,0,0,0.9,1.4,0.7,5
-22,0.9,2,2,0.9,14,1,0,1,1,1,3,0.1,0,1.7,1.4,8,0,0,1.1,0.8,0.3,2.2
-34,1.3,2,2,1.2,14,0,0,1,2,0,0,1.3,3,2.1,1,12,0,0,0.9,1.2,0.9,5.6
0,0.6,2,2,0.6,6,0,0,1,1,0,5.6,0.1,0,2.1,1.2,6,0,0,1.8,0,0,8.3
-74,0.6,2,2,0.7,8,0,0,2,0,0,9.4,0.3,1,2.4,0.6,13,0,0,1.1,1,0.4,7.4
-29,2.2,4,2,1.3,12,0,0,1,1,1,0,2.8,6,2.6,1.4,28,0,0,0.7,1.7,0.4,0
-29,0.7,2,2,0.7,8,0,0,1,1,0,5.5,0.2,1,2,0.4,4,0,0,1.4,0.5,0.2,12
70,1.1,2,2,1.4,13,0,0,1,1,1,11.5,0.5,2,1.8,0.8,13,1,0,1,1.3,0.2,0.2
23,1.4,3,1,1.4,10,0,0,1,1,0,0,0.2,1,2.5,0.6,11,0,0,2.2,0,0,0
-56,0.1,0,3,0.6,3,0,0,2,0,0,6.7,3.1,5,2.6,1.6,15,0,0,1.7,0.6,0,0
74,2.7,6,2,1.4,16,0,0,0,1,1,8.3,1.8,3,2.2,1.7,12,0,0,0.9,1.4,0.4,2
-8,0,0,2,0.7,10,0,0,1,1,0,7.5,1.2,3,2.6,1.3,20,1,0,0.9,1.3,0.5,0.2
7,2.2,3,2,0.9,4,0,0,1,1,1,2.3,0.3,1,1.1,0.7,10,0,0,1.8,0.5,0.1,0.2
-30,0.9,2,2,0.7,6,0,0,1,1,0,12.1,1.2,2,1.8,1.4,13,0,0,1.3,1,0.5,0
-35,1.3,3,2,1.1,15,0,0,1,1,0,0,1.5,4,2.6,1,18,0,0,0.9,1.4,0.2,4.1
27,1.4,3,2,1.5,10,0,0,1,1,0,0,0.5,2,2.5,0.7,21,0,0,0.9,1.5,0.8,6.1
-34,0.1,0,2,0.9,10,0,0,1,1,0,12.5,0.3,1,2.7,0.6,8,0,0,1.8,0.1,0,0.5
37,1.5,4,2,1.4,17,1,0,1,1,1,7,2.3,4,2.4,1.5,13,0,0,1.2,0.8,0.5,0
-9,1,2,2,0.8,8,0,0,2,0,0,10.6,1.3,2,2.2,1,7,1,0,0.8,1.8,0.5,2.3
-37,0.3,1,2,0.8,11,0,0,2,1,0,0,0.2,1,2.4,0.4,9,0,0,1.2,0.5,0.1,4.5
-6,2,5,1,1.4,13,0,0,1,1,0,0.2,1.5,3,2.1,1.8,12,0,0,0.8,1.4,0.7,0
20,1,3,3,0.8,17,0,0,1,1,1,0,1.4,2,2.1,0.8,6,0,0,1.5,0.1,0,18
42,0.4,1,2,1.1,16,0,0,1,1,0,2,1.1,1,2.2,0.9,5,0,0,0.9,1,0.5,0.2
-48,0.1,0,3,0.3,2,1,0,1,1,0,4.1,2.4,4,1.8,1.6,10,0,0,1.3,0.7,0.2,6.8
44,1.1,2,3,1.4,25,1,0,1,1,1,4.7,2.5,6,2.9,1.7,24,0,0,0.6,1.5,0.5,0.5